disease,gwas_sample_size,gene_set_size,ahba_coverage_percent,number_of_enriched_regions,maximum_z_score,number_of_spatially_robust_regions
Alzheimer disease,487511.0,93,82.30088495575221,0,2.079164905383461,0
Amyotrophic lateral sclerosis,152268.0,22,88.0,0,2.6637821771726617,0
Attention deficit-hyperactivity disorder,225534.0,31,88.57142857142857,2,3.284837817329499,0
Bipolar disorder,413466.0,80,80.0,0,1.9124289775782894,0
Epilepsy,82482.0,7,87.5,0,2.0977230058763547,0
Major depressive disorder,1154267.0,145,81.46067415730337,0,2.4531583266602444,0
Migraine,873341.0,167,81.46341463414635,0,3.1590622168644042,0
Multiple sclerosis,41505.0,217,73.06397306397307,0,3.2786638684057667,0
Parkinson disease,2525730.0,123,82.5503355704698,0,3.0566367753650683,0
Schizophrenia,175799.0,381,84.4789356984479,7,4.4768199657387235,0
